COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,June,01/06/2001,Non-Metallic Minerals,Fluorite,Tons,66782,67861.222,75.77,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Kaolin,Tons,7800,5226.137,109.999,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Silica Sand,Tons,154786,30584.794,66.836,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Gypsum,Tons,327125,37529.391,76.444,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Phosphate Rock,Tons,86481,29879.022,107.087,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Wollastonite,Tons,1810,3531.556,46.367,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Celestite,Tons,12998,6823.328,526.572,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Feldspar,Tons,31659,13330.5,85.273,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Salt,Tons,714812,80051.796,97.378,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Diatomite,Tons,3935,7027.123,36.737,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,40000,30736,77.67,Final Figures.
National,2001,June,01/06/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,1977,1713.686,55.104,Final Figures.
National,2001,July,01/07/2001,Precious Metals,Gold,Kilograms,1949,154327.372,46.437,Final Figures.
National,2001,July,01/07/2001,Precious Metals,Silver,Kilograms,218109,273765.165,98.099,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Lead,Tons,8723,36873.362,103.923,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Copper,Tons,22607,336234.466,100.992,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Zinc,Tons,37233,318858.334,112.456,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Antimony,Tons,0,0,0,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,228,1657.27,533.333,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,109,8398.216,115.548,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,34.718,64,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,119,600.362,94.452,Final Figures.
National,2001,July,01/07/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,692,33442.655,106.298,Final Figures.
National,2001,July,01/07/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,452529,136799.643,52.202,Final Figures.
National,2001,July,01/07/2001,Steel Metals and Minerals,Coke,Tons,176082,265781.692,136.551,Final Figures.
National,2001,July,01/07/2001,Steel Metals and Minerals,Iron Pellets,Tons,427894,95565.772,66.461,Final Figures.
National,2001,July,01/07/2001,Steel Metals and Minerals,Manganese,Tons,20220,18755.728,142.807,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Sulfur,Tons,81255,53208.838,93.656,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Graphite,Tons,1609,3352.483,267.091,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Barite,Tons,11044,7838.937,94.618,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Dolomite,Tons,54790,10903.21,53.281,Final Figures.
